timeindex,AT-hydro-phs,AT-hydro-reservoir,AT-lithium-battery,BE-hydro-phs,BE-hydro-reservoir,BE-lithium-battery,CH-hydro-phs,CH-hydro-reservoir,CH-lithium-battery,CZ-hydro-phs,CZ-hydro-reservoir,CZ-lithium-battery,DE-flex-decentral_heat-tes,DE-hydro-phs,DE-hydro-reservoir,DE-lithium-battery,DK-lithium-battery,FR-hydro-phs,FR-hydro-reservoir,FR-lithium-battery,LU-hydro-phs,LU-hydro-reservoir,LU-lithium-battery,NL-lithium-battery,NO-hydro-phs,NO-hydro-reservoir,PL-hydro-phs,PL-lithium-battery,SE-hydro-reservoir,SE-lithium-battery
2030-01-01 20:00:00,181559.387577,2278977.87166,516.92355,4600.0,48695.3218514,680.97315,404182.665606,5249040.57841,577.02645,5000.0,1832.09411189,5260.67685,34273.5804129,58749.6,67380.8458259,33569.25,1866.15,82500.0,6342012.60116,7335.9,4104.0,745054.500386,215.03625,2018.71073538,350018.312,101624880.395,7350.46129873,8768.90520072,52931257.4283,2658.6479261
2030-01-01 21:00:00,181559.387577,2280317.90842,516.92355,4600.0,48747.710791,680.97315,404182.665606,5250930.39128,577.02645,5000.0,1872.1915836,5260.67685,34273.5804129,58749.6,68163.8981169,33569.25,1866.15,82500.0,6340049.23467,7335.9,4104.0,745135.934511,215.03625,2018.71073538,350018.312,101605340.889,7350.46129873,8768.90520072,52919947.7973,1509.70439108
2030-01-01 22:00:00,181559.387577,2281657.24044,516.92355,4600.0,48800.1127889,680.97315,404182.665606,5252818.75709,577.02645,5000.0,1912.28668028,5260.67685,34273.5804129,58749.6,68946.5195841,33569.25,1866.15,82500.0,6338290.83334,7335.9,4104.0,745217.388934,215.03625,2018.71073538,350018.312,101586281.397,7350.46129873,8768.90520072,52908636.1344,974.16816816
2030-01-01 23:00:00,181559.387577,2282995.86545,516.92355,4600.0,48852.5282681,680.97315,404182.665606,5254705.67355,577.02645,5000.0,1952.37946773,5260.67685,34273.5804129,58749.6,69728.7052463,33569.25,1866.15,82500.0,6339998.76334,7335.9,4104.0,745298.864312,215.03625,2018.71073538,350018.312,101558125.061,7350.46129873,8768.90520072,52897323.1947,1950.77017292
2030-01-02 00:00:00,181559.387577,2284333.78122,516.92355,4600.0,48904.9576618,680.97315,404182.665606,5256591.13879,577.02645,5000.0,1992.47002233,5260.67685,34273.5804129,58749.6,70510.4498716,33569.25,1866.15,82500.0,6342316.27164,7335.9,4104.0,745380.36132,215.03625,2427.09266981,350018.312,101539914.883,7350.46129873,8768.90520072,52886007.3993,2927.37217769
2030-01-02 01:00:00,181559.387577,2285670.98556,516.92355,4600.0,48957.4014047,680.97315,404182.665606,5258475.15133,577.02645,5000.0,2032.55842427,5260.67685,34273.5804129,58749.6,71291.7481585,33569.25,1866.15,82500.0,6346221.94577,7335.9,4104.0,745461.880632,215.03625,2427.09266981,350018.312,101522055.904,7350.46129873,8768.90520072,52875185.1997,3903.97418245
2030-01-02 02:00:00,181559.387577,2287007.47621,516.92355,4600.0,49009.8599023,680.97315,404182.665606,5260357.7096,577.02645,5000.0,2072.64473023,5260.67685,34273.5804129,58749.6,72072.5954559,33569.25,1866.15,82500.0,6352005.44986,7335.9,4104.0,745543.422879,215.03625,2470.80866557,350018.312,101504474.681,7350.46129873,8768.90520072,52863865.1139,4880.57618721
2030-01-02 03:00:00,181559.387577,2288343.25084,516.92355,4600.0,49062.3335226,680.97315,404182.665606,5262238.81189,577.02645,5000.0,2112.72896659,5260.67685,34273.5804129,58749.6,72852.9879441,33569.25,1866.15,82500.0,6358204.9899,7335.9,4104.0,745624.988633,215.03625,2470.80866557,350018.312,101476597.241,7350.46129873,8768.90520072,52852542.8231,5417.67315666
2030-01-02 04:00:00,181559.387577,2289678.30704,516.92355,4600.0,49114.8225959,680.97315,404182.665606,5264118.45636,577.02645,5000.0,2152.81112941,5260.67685,34273.5804129,58749.6,73632.9226342,33569.25,1866.15,82500.0,6364171.10872,7335.9,4104.0,745706.578408,215.03625,2879.1906,350018.312,101458678.024,7350.46129873,8768.90520072,52841218.2918,5691.19012994
2030-01-02 05:00:00,181559.387577,2291012.64231,516.92355,4600.0,49167.3274153,680.97315,404182.665606,5265996.64099,577.02645,5000.0,2192.89118445,5260.67685,33989.9050293,58749.6,74412.3973688,33569.25,1866.15,82500.0,6369760.75759,7335.9,4104.0,745788.192658,215.03625,2879.1906,350018.312,101440382.411,7350.46129873,8768.90520072,52829891.4873,5691.19012994
