timeindex,AT-hydro-phs,AT-hydro-reservoir,AT-lithium-battery,BE-hydro-phs,BE-hydro-reservoir,BE-lithium-battery,CH-hydro-phs,CH-hydro-reservoir,CH-lithium-battery,CZ-hydro-phs,CZ-hydro-reservoir,CZ-lithium-battery,DE-cavern-acaes,DE-flex-decentral_heat-tes,DE-hydro-phs,DE-hydro-reservoir,DE-hydrogen-storage,DE-lithium-battery,DK-lithium-battery,FR-hydro-phs,FR-hydro-reservoir,FR-lithium-battery,LU-hydro-phs,LU-hydro-reservoir,LU-lithium-battery,NL-lithium-battery,NO-hydro-phs,NO-hydro-reservoir,PL-hydro-phs,PL-lithium-battery,SE-hydro-reservoir,SE-lithium-battery
2030-02-20 00:00:00,116687.588516,757041.939455,219.959983858,1003.52346358,61032.4482968,289.765949107,168548.355126,1744248.48818,409.224692985,3515.69504244,36646.2901918,746.169909139,1804.77139067,23322.4900405,26162.7248549,568743.949363,65289.2811331,18983.8629638,969.271992938,41130.7177589,5705694.09114,2916.52856084,850.910727821,764573.426438,91.5016738525,813.087416158,350018.312,76260725.9128,4281.96077753,4909.64818812,40675886.4293,4965.82290142
2030-02-20 01:00:00,116687.588516,758282.787224,219.959983858,1003.52346358,61081.2885496,289.765949107,168548.355126,1745500.77616,409.224692985,3515.69504244,36715.2039374,746.169909139,1804.77139067,23322.4900405,26162.7248549,569528.058368,65289.2811331,18983.8629638,969.271992938,41130.7177589,5702617.16236,2916.52856084,850.910727821,764649.344433,91.5016738525,813.087416158,350018.312,76242746.3504,4281.96077753,4909.64818812,40663973.5359,4965.82290142
2030-02-20 02:00:00,116687.588516,759523.752415,219.959983858,1003.52346358,61130.0922141,289.765949107,168548.355126,1746752.94647,409.224692985,3515.69504244,36784.0765501,746.169909139,1804.77139067,26437.737549,26162.7248549,570311.581449,65289.2811331,18983.8629638,969.271992938,41130.7177589,5702438.12352,2916.52856084,850.910727821,764725.205555,91.5016738525,813.087416158,350018.312,76217144.0992,4281.96077753,4909.64818812,40652058.9381,4965.82290142
2030-02-20 03:00:00,116687.588516,760764.822146,219.959983858,1003.52346358,61178.8594289,386.354598809,168548.355126,1748005.00209,409.224692985,3515.69504244,36852.9078713,746.169909139,1804.77139067,27946.5999475,26162.7248549,571094.516477,65289.2811331,18983.8629638,969.271992938,41130.7177589,5703209.74718,2916.52856084,850.910727821,764801.010019,91.5016738525,813.087416158,350018.312,76198821.8702,4281.96077753,6284.06569961,40640142.6448,4965.82290142
2030-02-20 04:00:00,116687.588516,762005.983591,219.959983858,1003.52346358,61227.5903294,386.354598809,168548.355126,1749256.94602,409.224692985,3515.69504244,36921.6977408,746.169909139,1804.77139067,29761.5361846,26162.7248549,571876.861405,65289.2811331,18983.8629638,969.271992938,41130.7177589,5704054.88326,2916.52856084,850.910727821,764876.758035,91.5016738525,813.087416158,350018.312,76180415.4184,4281.96077753,6284.06569961,40628224.6629,4965.82290142
2030-02-20 05:00:00,116687.588516,763247.223978,219.959983858,1003.52346358,61276.2850482,386.354598809,168548.355126,1750508.78132,409.224692985,3515.69504244,36990.4459972,1238.0160528,1804.77139067,28678.9301711,26162.7248549,572658.614261,65289.2811331,18983.8629638,969.271992938,41130.7177589,5703283.34752,3957.04634829,850.910727821,764952.44981,91.5016738525,813.087416158,350018.312,76154782.215,4281.96077753,6284.06569961,40616304.9969,4965.82290142
2030-02-20 06:00:00,116687.588516,764488.530589,219.959983858,1003.52346358,61324.9437151,386.354598809,168548.355126,1751760.51108,409.224692985,3515.69504244,37059.1524781,1238.0160528,1804.77139067,29013.8263095,26162.7248549,573439.773154,65289.2811331,18983.8629638,969.271992938,41130.7177589,5703467.21922,3957.04634829,850.910727821,765028.085545,91.5016738525,1221.46935058,350018.312,76135194.8661,4281.96077753,6284.06569961,40604383.649,4965.82290142
2030-02-20 07:00:00,116687.588516,765729.890762,219.959983858,1003.52346358,61373.5664569,386.354598809,168548.355126,1753012.13844,409.224692985,3515.69504244,37127.8170195,1840.20842522,1804.77139067,29921.0157736,26162.7248549,574220.336275,65289.2811331,18983.8629638,969.271992938,41130.7177589,5701566.11779,3957.04634829,850.910727821,765103.665438,122.002231803,1221.46935058,350018.312,76109541.1552,4281.96077753,6284.06569961,40592460.6194,4965.82290142
2030-02-20 08:00:00,116687.588516,766971.291887,219.959983858,1003.52346358,61422.1533973,482.943248511,168548.355126,1754263.66655,409.224692985,3515.69504244,37196.4394562,2292.39303812,1804.77139067,31647.4473041,26162.7248549,575000.301889,65289.2811331,24169.1308484,969.271992938,41130.7177589,5697706.18747,3957.04634829,850.910727821,765179.189681,122.002231803,1333.95494513,350018.312,76083877.232,4281.96077753,6284.06569961,40580535.9056,4965.82290142
2030-02-20 09:00:00,116687.588516,768212.721412,293.279978477,1003.52346358,61470.7046574,482.943248511,168548.355126,1755515.09861,409.224692985,3515.69504244,37265.0196218,2607.34057318,1804.77139067,34279.8144609,26162.7248549,575779.668345,65289.2811331,35152.2777135,1022.0538863,41130.7177589,5695082.1246,3957.04634829,850.910727821,765254.658461,122.002231803,1742.33687956,350018.312,76062849.3766,4281.96077753,6284.06569961,40568609.5034,4965.82290142
